Weights,PortfolioReturn,PortfolioVariance,SharpeRatio
"[0.3, 0.45, 0.25]",1.410929623243053,0.0022503019291738547,29.743012632789817
"[0.3, 0.4, 0.3]",1.3928698479513808,0.0023192921901845215,28.92229851915232
"[0.3, 0.35, 0.35]",1.3748100726597083,0.002402296648947973,28.04977536819295
"[0.3, 0.3, 0.4]",1.3567502973680363,0.0024993153054642093,27.138722548859334
"[0.3, 0.25, 0.45]",1.3386905220763639,0.0026103481597332303,26.20179054498966
"[0.3, 0.2, 0.5]",1.3206307467846918,0.002735395211755036,25.250580282412084
"[0.3, 0.15, 0.55]",1.3025709714930194,0.002874456461529627,24.29537059161666
"[0.3, 0.1, 0.6]",1.2845111962013471,0.003027531909057002,23.344981252172914
"[0.3, 0.05, 0.65]",1.2664514209096749,0.003194621554337162,22.406747843752548
"[0.3, 0.0, 0.7]",1.2483916456180026,0.003375725397370107,21.48658016583056
"[0.25, 0.75, 0.0]",1.5520850183279844,0.002193047735190852,33.142973105123744
"[0.25, 0.7, 0.05]",1.534025243036312,0.0021898133851103335,32.781509905193
"[0.25, 0.65, 0.1]",1.5159654677446397,0.0022005932327826,32.316135619611565
"[0.25, 0.6, 0.15]",1.4979056924529677,0.0022253872782076515,31.75277388308187
"[0.25, 0.55, 0.2]",1.4798459171612954,0.002264195521385488,31.099938851610585
"[0.25, 0.5, 0.25]",1.461786141869623,0.0023170179623161085,30.368206229463393
"[0.25, 0.45, 0.3]",1.4437263665779507,0.0023838546009995144,29.56956983048106
"[0.25, 0.4, 0.35]",1.4256665912862785,0.0024647054374357046,28.716761480924724
"[0.25, 0.35, 0.4]",1.4076068159946062,0.00255957047162468,27.822606627539233
"[0.25, 0.3, 0.45]",1.389547040702934,0.00266844970356644,26.899471224255592
"[0.25, 0.25, 0.5]",1.3714872654112615,0.002791343133260985,25.958833097532477
"[0.25, 0.2, 0.55]",1.3534274901195895,0.0029282507607083148,25.010988758174722
"[0.25, 0.15, 0.6]",1.335367714827917,0.003079172585908429,24.064888639509373
"[0.25, 0.1, 0.65]",1.3173079395362448,0.003244108608861328,23.128081904127345
"[0.25, 0.05, 0.7]",1.2992481642445726,0.003423058829567012,22.206746264124092
"[0.25, 0.0, 0.75]",1.2811883889529003,0.0036160232480254807,21.305777492368716
"[0.2, 0.8, 0.0]",1.6029415369545543,0.0022750545946803565,33.606382911938915
"[0.2, 0.75, 0.05]",1.584881761662882,0.0022696666222725777,33.26716806338212
"[0.2, 0.7, 0.1]",1.5668219863712096,0.002278292847617583,32.8257670943957
"[0.2, 0.65, 0.15]",1.5487622110795376,0.0023009332707153735,32.28737453809005
"[0.2, 0.6, 0.2]",1.5307024357878654,0.0023375878915659486,31.659700256277233
"[0.2, 0.55, 0.25]",1.5126426604961931,0.002388256710169309,30.9525077607437
"[0.2, 0.5, 0.3]",1.4945828852045207,0.0024529397265254534,30.177034981496256
"[0.2, 0.45, 0.35]",1.4765231099128484,0.002531636940634383,29.345366420615278
"[0.2, 0.4, 0.4]",1.4584633346211762,0.0026243483524960973,28.46982348174131
